Identifier,Title,Date of Publication,Place of Publication
206,Walter Forbes. [A novel.] By A. A,1879,London
216,"All for Greed. [A novel. The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]",1868,London
218,"Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]",1869,London
472,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century. By the author of “Proposals for Christian Union” (E. S. A. [i.e. Ernest Appleyard])",1851,London
480,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]",1857,London
481,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]",1875,London
519,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),1872,London
667,"The Coming of Spring, and other poems. By J. A. [i.e. J. Andrews.]",1859,pp. 40. G. Bryan & Co
874,"A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]",1676,London
1143,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),1679,London
1280,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ... A new edition. [The dedication signed: AB, CD, EF, GH, &c. By Edward Jackson and Samuel Carte.]",1802,Coventry
1808,"Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet, og hans Biographi af Amtmand J. C. Aall",1859,Christiania
1905,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),1888,Firenze
1929,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],1839,Amsterdam
2836,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,1897,Savona
2854,"See-Saw; a novel ... Edited [or rather, written] by W. W. Reade",1865,London
2956,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R. Radau. fasc. 1-3",1860,Paris
2957,[With eleven maps.],1873,Paris
3017,"[Historia geográfica, civil y politica de la Isla de S. Juan Bautista de Puerto Rico, Dala a luz A. Valladares de Sotomayor.]",1866,Puerto-Rico
3131,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ... Illustrations from original photographs by E. S. Bennett, etc",1899,New York
4598,Peace: a lyric poem. [With prefatory address by F. Wrangham?],1814,Hull
4884,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts. [In verse.] [By Thomas Foster Barham, the Elder.]",1820,London
4976,[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. & Lat.],1800,Oxonii
5382,"The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech",1847,London
5385,"[The comic history of England ... With twenty coloured etchings, and two hundred woodcuts. By John Leech.]",1897,London
5389,[The Comic History of Rome ... Illustrated by John Leech.],1897,London
5432,Signa: opera in tre atti [founded on the novel entitled: “Signa” by Ouida] ... Traduzione ritmica di G. Mazzucato,1893,Milano
6036,"The Venetian Outlaw, a drama in three acts ... Translated [from the French translation of J. H. D. Zschokke's “Abällino, oder der grosse Bandit”] and adapted to the English stage by R. W. Elliston",1805,London
6821,Description of the Coast between Aberdeen and Leith. [By William Duncan.]: Appendix,1837,Aberdeen
7521,Aus Kaukasischen Ländern. Reisebriefe von H. Abich. Herausgegeben von dessen Witwe (A. Abich),1896,Wien
7630,Selections from the Municipal Chronicles of the Borough of Abingdon from A.D. 1555 to A.D. 1897. Edited by B. Challenor,1898,Abingdon
8239,"The Plains of Abraham, 1759, a spot sacred to the memory of Wolfe and Montcalm. An appeal to all Canada for the preservation of the Plains of Abraham as portion of the public domain",1899,Quebec
8435,The Witwatersrand Gold Mines. A true and unvarnished account of their origin and progress ... Translated ... by H. C. Simonsen,1892,London
8440,The New Era of the Goldmining Industry in the Witwatersrand ... Translated from the German by H. C. Simonsen. With an authentic map of the fields,1894,London
11361,"Tirol und Vorarlberg ... Mit ... einer Karte, zahlreichen Illustrationen, etc",1894,Leipzig
11852,"A Question of Holy Writ, suggested by a lecture on Buddha and Buddhism, delivered before the Literary Society of Exeter, by Lieut. Ackland, R.N., and answered in the following lines, etc. [By Joseph Plimsoll.]: Bible. Appendix. Miscellaneous",1859,pp. 40. W. Cann
13074,"A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ... With an appendix on Central Asian trade by Capt. S. H. Godfrey ... Illustrated from drawings by the author, photographs, and a map of the route",1899,London
13364,"A Hand-book and History of Sidmouth from the Triassic period up to “Now.” By אדם [Adam, i.e. P. O. Hutchinson]. Illustrated ... With map",1885,London
14466,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St. Luke and of the Chartreuse",1860,London
14703,First (-Third) Annual Report on the Geology of the State of Vermont,1846,1845
15141,The New Egypt. A social sketch. [Edited by J. W. Longsdon.],1893,London
15146,Tiberius: a drama ... With introduction by W. M. Rossetti,1894,London
16173,"Memoirs of the Life and Doctrines of the late John Hunter, Esq., etc",1817,enk
16543,"The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ... With a map, etc. [Edited by S. Cock.]",1816,London
16544,"[The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ... With a map, etc. [Edited by S. Cock.]]",1817,Boston
17602,East End Idylls ... With an introduction by the Hon. and Rev. J. G. Adderley,1897,London
